longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.32,37.92,22,1119,220,565,199,3.3594,186900,NEAR BAY
-122.04,37.96,16,2913,723,1705,693,2.9097,106300,NEAR BAY
-122.05,37.96,35,2190,384,1154,401,3.8456,159800,NEAR BAY
-122.16,39.74,20,707,126,337,125,3.0469,85000,INLAND
-119.85,36.75,24,1143,245,608,240,2.8194,81100,INLAND
-122.16,37.76,45,2299,514,1437,484,2.5122,95500,NEAR BAY
-122.2,37.77,39,2689,597,1888,537,2.2562,94800,NEAR BAY
-121.91,37.68,18,3631,547,1700,520,5.817,257300,<1H OCEAN
-122.25,37.87,52,609,236,1349,250,1.1696,500001,NEAR BAY
-122.23,37.8,52,1252,299,844,280,2.3929,111900,NEAR BAY
-119.74,36.77,30,2427,482,1375,518,2.5737,76900,INLAND
-122.18,37.74,35,504,126,323,109,1.8438,90500,NEAR BAY
-122.03,37.62,32,2964,547,1472,527,4.2468,221200,NEAR BAY
-119.69,36.8,31,2576,458,1306,418,3.2813,68700,INLAND
-122.25,38.0,16,2978,411,1531,400,6.5006,237700,NEAR BAY
-121.87,37.99,15,2203,312,1051,311,4.9783,163900,INLAND
-122.21,37.83,40,4991,674,1616,654,7.5544,411500,NEAR BAY
-119.54,36.7,20,1815,375,1665,357,2.2448,58900,INLAND
-121.94,37.73,22,1980,291,861,290,6.2726,258200,<1H OCEAN
-120.25,36.65,31,1177,221,744,223,2.4937,66000,INLAND
-122.03,37.54,35,1867,343,1213,338,4.8214,186000,NEAR BAY
-120.38,36.76,25,991,272,941,262,1.8125,58000,INLAND
-122.26,37.85,50,1120,283,697,264,2.125,140000,NEAR BAY
-122.01,37.91,21,10093,1269,3645,1219,7.6877,367700,NEAR BAY
-121.61,37.77,32,404,74,144,58,4.2083,125000,INLAND
-119.82,36.78,36,1582,313,761,318,2.6055,69200,INLAND
-121.88,37.64,20,1309,184,514,172,10.9506,475800,INLAND
-119.85,36.8,14,1876,324,1031,311,3.6563,88800,INLAND
-122.0,37.55,27,6103,1249,3026,1134,4.1591,332400,<1H OCEAN
-122.34,37.93,45,2225,486,1304,459,2.64,112100,NEAR BAY
-122.07,37.59,15,3475,686,2568,653,4.6211,151400,NEAR BAY
-122.23,38.06,52,1350,266,490,257,3.125,171100,NEAR BAY
-122.11,37.99,16,3913,710,1782,676,5.1297,206700,NEAR BAY
-122.27,37.85,52,1974,426,875,363,1.5817,153600,NEAR BAY
-120.91,38.73,11,5460,859,2645,838,4.835,230600,INLAND
-122.2,37.78,45,1766,332,869,327,4.5893,163500,NEAR BAY
-120.62,38.71,10,6305,1150,2597,921,4.0197,132200,INLAND
-119.97,38.94,26,1485,334,406,180,1.9667,84600,INLAND
-122.23,37.82,52,3051,381,1005,369,8.1872,466100,NEAR BAY
-121.73,37.68,17,20354,3493,8768,3293,5.4496,238900,INLAND
-119.94,38.95,25,1789,536,1134,396,2.32,91300,INLAND
-122.1,37.67,34,3659,897,2479,903,2.9564,150500,NEAR BAY
-122.21,37.76,52,1420,314,1085,300,1.7546,80600,NEAR BAY
-121.77,38.01,13,2983,534,1417,510,3.9861,168100,INLAND
-122.28,37.77,52,1468,363,870,347,2.9688,220800,NEAR BAY
-122.18,37.78,33,142,31,575,47,3.875,225000,NEAR BAY
-122.1,37.65,25,2538,494,1185,501,4.5417,194400,NEAR BAY
-122.26,37.77,52,1210,168,411,172,3.3571,405400,NEAR BAY
-122.16,37.74,44,1097,239,609,215,2.0227,103100,NEAR BAY
-122.18,37.76,52,754,175,447,165,3.9063,93800,NEAR BAY
-122.0,37.58,6,4405,717,2071,688,5.8151,295600,<1H OCEAN
-122.26,37.82,37,3633,1085,1838,980,2.6104,193100,NEAR BAY
-121.69,39.36,34,842,186,635,165,1.8355,63000,INLAND
-121.52,39.43,15,2119,389,1079,374,2.3566,80400,INLAND
-121.57,39.5,31,2023,469,1073,436,1.5714,56100,INLAND
-122.07,37.64,25,4524,860,2426,862,4.7083,190900,NEAR BAY
-122.07,37.71,40,1808,302,746,270,5.3015,254900,NEAR BAY
-119.8,36.8,43,1951,288,725,308,6.3359,169300,INLAND
-120.79,38.83,15,1374,291,709,239,1.7222,118500,INLAND
-121.97,38.03,17,3685,685,1939,649,3.7043,139800,INLAND
-121.81,39.7,21,5051,1054,2948,980,1.5863,81300,INLAND
-122.14,37.71,18,3905,1007,2197,1044,3.6932,166800,NEAR BAY
-119.81,36.6,24,2246,462,1291,394,2.4006,76400,INLAND
-122.25,37.81,52,2155,701,895,613,2.5795,350000,NEAR BAY
-121.87,37.66,27,1569,242,583,214,5.7519,278500,INLAND
-121.66,39.66,17,3502,655,1763,613,2.9625,101200,INLAND
-121.81,37.99,18,2807,445,1315,437,4.8194,170400,INLAND
-120.56,38.48,14,3545,702,946,411,3.4609,120900,INLAND
-122.25,37.84,52,3549,707,1551,714,3.6912,261100,NEAR BAY
-122.17,37.76,41,1594,367,1074,355,1.9356,90600,NEAR BAY
-121.98,37.53,26,3179,703,2142,639,4.1947,222700,<1H OCEAN
-122.22,37.79,46,2366,575,1647,527,2.6042,124700,NEAR BAY
-120.56,38.39,20,1326,307,563,237,2.6667,86600,INLAND
-122.08,37.87,26,2405,564,680,531,2.4896,73400,NEAR BAY
-122.15,37.67,35,2472,398,1171,390,5.5797,198100,NEAR BAY
-122.29,37.83,52,1121,211,554,187,3.3929,75700,NEAR BAY
-121.82,39.72,42,2978,694,1879,679,1.5064,66300,INLAND
-122.18,37.68,5,2087,407,840,401,5.4858,187800,NEAR BAY
-119.83,36.72,28,60,10,46,13,4.35,67500,INLAND
-122.12,38.01,50,1300,263,691,239,3.9519,126500,NEAR BAY
-122.29,37.92,36,1450,235,568,234,6.0,311400,NEAR BAY
-121.54,39.6,15,886,204,576,205,2.1467,84100,INLAND
-122.2,37.9,36,2107,287,740,280,10.3416,500001,NEAR BAY
-122.01,37.53,19,4572,712,2346,709,6.0667,245700,NEAR BAY
-122.07,37.57,8,8647,1407,5019,1379,6.5615,318300,NEAR BAY
-122.28,37.91,48,2083,298,685,286,7.3089,331200,NEAR BAY
-122.05,37.68,32,2015,318,1019,340,6.1104,240700,NEAR BAY
-122.08,37.61,6,2605,474,1568,433,5.0406,261400,NEAR BAY
-119.85,36.8,14,4177,914,2300,867,2.9565,73000,INLAND
-122.19,37.78,52,2492,415,1109,375,4.3125,164400,NEAR BAY
-122.16,37.74,43,1534,300,826,295,4.0417,109400,NEAR BAY
-122.37,37.95,35,215,45,100,34,1.6023,81300,NEAR BAY
-121.89,37.99,4,2171,597,928,461,4.1016,170500,INLAND
-122.27,37.81,10,875,348,546,330,0.76,162500,NEAR BAY
-121.82,38.01,50,1120,281,625,239,1.5988,96400,INLAND
-122.3,37.81,52,1010,209,604,187,1.1667,78400,NEAR BAY
-122.28,37.87,46,1777,446,805,431,2.8676,212000,NEAR BAY
-122.22,37.81,52,2944,536,1034,521,5.3509,302100,NEAR BAY
-122.01,37.59,2,838,295,240,149,2.875,237500,NEAR BAY
-122.26,37.83,52,1665,419,946,395,2.0978,155400,NEAR BAY
-119.98,38.94,25,1339,328,503,219,1.9018,109700,INLAND
-122.24,37.75,27,4051,753,1499,797,4.8711,286600,NEAR BAY
-121.97,37.57,21,4342,783,2172,789,4.6146,247600,<1H OCEAN
-120.67,36.72,18,819,198,996,198,2.5,112500,INLAND
-121.97,37.64,32,1283,194,485,171,6.0574,431000,<1H OCEAN
-122.28,37.86,52,2031,450,958,445,1.9327,169900,NEAR BAY
-119.74,36.76,42,2093,470,1621,438,1.7994,58700,INLAND
-119.72,36.8,16,2396,526,1338,518,2.1653,78800,INLAND
-119.77,36.44,26,1727,289,802,259,3.2083,75000,INLAND
-122.36,37.96,30,950,317,1073,280,1.8664,107800,NEAR BAY
-119.32,37.06,15,3111,651,276,107,5.1314,179200,INLAND
-122.27,37.8,39,1715,623,1327,467,1.8477,179200,NEAR BAY
-119.57,37.02,16,4199,794,2140,722,3.332,111800,INLAND
-121.92,38.02,8,2750,479,1526,484,5.102,156500,INLAND
-122.25,37.77,52,2650,566,1468,567,3.0161,215700,NEAR BAY
-122.14,37.84,24,2131,343,874,373,5.6349,355600,NEAR BAY
-122.25,37.86,48,2153,517,1656,459,3.0417,489600,NEAR BAY
-121.83,38.0,15,6365,1646,3838,1458,2.5495,103600,INLAND
-122.01,37.56,6,3028,778,1531,736,4.4259,158000,NEAR BAY
-122.17,37.74,43,818,193,494,179,2.4776,101600,NEAR BAY
-121.72,38.0,7,7957,1314,4460,1293,4.9618,156500,INLAND
-119.6,36.57,42,2311,439,1347,436,2.5556,69700,INLAND
-122.06,37.96,37,1784,313,788,304,4.2917,189600,NEAR BAY
-122.27,37.78,52,1408,280,718,265,2.6806,207900,NEAR BAY
-121.78,37.97,4,17032,2546,7653,2359,5.5601,213700,INLAND
-121.99,39.15,17,6440,1204,3266,1142,2.7137,72000,INLAND
-122.28,37.87,46,3022,696,1293,675,2.543,220700,NEAR BAY
-120.22,36.49,14,1508,347,1679,345,2.4786,56000,INLAND
-122.19,37.74,36,847,212,567,159,1.1765,87100,NEAR BAY
-122.28,37.85,52,1898,421,1102,397,1.808,105500,NEAR BAY
-122.05,37.95,22,5175,1213,2804,1091,2.85,144600,NEAR BAY
-121.83,39.73,52,1741,401,753,377,2.0064,77900,INLAND
-122.13,38.02,52,2378,508,940,451,2.9583,166000,NEAR BAY
-119.67,36.83,4,2145,334,1024,308,5.0864,113700,INLAND
-119.81,36.76,48,2059,388,834,405,2.9306,67900,INLAND
-121.91,37.71,25,4377,668,2038,671,5.7233,231800,<1H OCEAN
-121.78,37.66,25,1947,418,900,354,3.8523,193000,INLAND
-122.21,37.83,34,5065,788,1627,766,6.8976,333300,NEAR BAY
-122.16,37.72,10,2229,601,877,485,3.3431,137500,NEAR BAY
-122.13,37.7,19,3516,710,1810,703,3.9032,218000,NEAR BAY
-122.09,37.63,35,1213,221,790,243,4.7019,174100,NEAR BAY
-122.13,37.72,25,1134,153,340,171,6.5095,371200,NEAR BAY
-122.1,37.66,37,901,191,599,206,3.7303,149700,NEAR BAY
-121.55,39.5,26,3215,827,2041,737,1.0585,45100,INLAND
-122.03,37.98,16,1209,477,627,482,1.3894,156300,NEAR BAY
-122.3,37.98,25,3807,806,1821,792,3.6518,164300,NEAR BAY
-121.63,38.04,25,2019,411,888,326,3.2619,183800,INLAND
-121.7,37.93,19,2005,405,972,403,2.2216,156700,INLAND
-122.23,37.76,52,3037,516,1242,518,5.2128,289900,NEAR BAY
-119.71,36.74,18,8099,1670,4476,1514,2.4728,88300,INLAND
-122.03,37.62,35,2072,352,1001,350,4.7109,198700,NEAR BAY
-119.57,36.7,7,1761,309,974,308,3.7261,83900,INLAND
-119.81,36.83,19,6789,1200,2325,1109,4.049,126000,INLAND
-122.24,37.8,52,996,228,731,228,2.2697,127000,NEAR BAY
-122.14,37.72,39,786,132,288,132,3.5156,218900,NEAR BAY
-122.04,37.97,10,974,316,631,286,2.3152,140600,NEAR BAY
-122.28,37.81,52,773,143,377,115,2.4083,98200,NEAR BAY
-119.78,36.8,34,3426,623,1938,647,2.8994,66000,INLAND
-121.97,39.79,16,1453,299,904,286,3.5735,89600,INLAND
-122.16,37.68,16,1687,348,568,352,2.3869,83300,NEAR BAY
-120.72,38.24,32,2685,543,1061,492,2.5473,101600,INLAND
-122.11,37.69,42,1472,310,768,309,3.4643,160900,NEAR BAY
-122.04,37.58,14,14917,2708,8012,2606,5.6277,269800,NEAR BAY
-119.77,36.74,20,1855,519,1091,443,1.5547,93900,INLAND
-122.09,37.68,41,1834,463,1105,467,2.8322,170300,NEAR BAY
-119.8,36.82,24,5377,1005,2010,982,3.4542,121200,INLAND
-121.92,37.64,46,1280,209,512,208,5.1406,315600,INLAND
-121.84,39.73,52,502,100,311,100,1.5481,200000,INLAND
-122.03,37.98,44,1254,252,498,217,3.4531,148900,NEAR BAY
-122.08,37.7,25,3402,758,1645,710,3.4934,209900,NEAR BAY
-124.16,41.92,19,1668,324,841,283,2.1336,75000,NEAR OCEAN
-122.34,37.99,42,1531,326,1271,377,2.6167,85100,NEAR BAY
-121.85,39.75,39,568,127,267,129,1.8095,78100,INLAND
-122.22,37.85,28,5287,1048,2031,956,5.457,337300,NEAR BAY
-122.28,37.85,52,2246,472,1005,449,2.4167,152700,NEAR BAY
-120.69,38.44,13,1473,265,597,228,4.2917,121300,INLAND
-119.78,36.86,10,2902,363,1200,363,8.3608,187300,INLAND
-119.96,38.94,27,1492,393,717,254,1.8906,104200,INLAND
-121.81,38.01,52,1124,245,528,226,2.2639,128500,INLAND
-120.6,38.76,22,1236,273,615,248,3.0217,106900,INLAND
-119.76,36.82,17,6932,1486,3056,1453,2.3375,99300,INLAND
-121.91,39.03,48,1096,218,657,199,2.7841,65800,INLAND
-122.36,37.93,42,1796,389,1107,372,1.9375,87000,NEAR BAY
-122.35,37.96,34,1428,335,1272,319,2.5461,93900,NEAR BAY
-122.27,37.77,52,1731,377,872,363,4.1667,225800,NEAR BAY
-120.01,38.92,25,1758,357,689,278,2.675,104200,INLAND
-121.7,37.93,10,3258,612,1779,558,4.6587,152500,INLAND
-119.69,36.86,20,1676,263,786,240,4.0,164600,INLAND
-122.2,39.75,18,2603,576,1616,588,2.0192,63700,INLAND
-122.22,37.79,38,3049,711,2167,659,2.7969,141700,NEAR BAY
-122.18,37.88,36,542,119,231,121,4.9,354200,NEAR BAY
-119.8,36.86,7,6434,1201,2733,1045,3.7656,145000,INLAND
-121.89,39.71,26,2741,451,1217,437,3.7007,139200,INLAND
-122.16,37.71,37,1507,242,632,253,4.5553,191000,NEAR BAY
-122.26,37.98,28,2038,329,947,349,5.1178,198000,NEAR BAY
-122.07,37.67,27,3239,671,1469,616,3.2465,230600,NEAR BAY
-121.8,39.75,28,2551,378,1011,374,4.3309,125200,INLAND
-122.28,37.86,49,2932,668,1361,608,1.9798,147400,NEAR BAY
-122.27,37.88,52,1693,391,669,367,3.5417,287500,NEAR BAY
-121.79,37.99,10,4156,609,1878,586,5.6506,178600,INLAND
-119.44,36.6,5,2353,608,2505,573,2.2863,69200,INLAND
-119.75,36.78,35,1129,220,474,242,2.4405,74300,INLAND
-121.86,39.78,12,7653,1578,3628,1494,3.0905,117800,INLAND
-119.4,37.09,22,2211,477,773,288,3.3269,102700,INLAND
-122.04,37.62,35,1032,173,453,176,6.396,208500,NEAR BAY
-121.6,37.91,13,2479,394,1075,350,5.1017,241400,INLAND
-122.1,37.68,37,1352,342,691,324,3.4032,196900,NEAR BAY
-122.1,37.66,33,1954,464,1293,448,3.0489,152600,NEAR BAY
-122.03,38.01,27,3228,562,1666,588,4.5707,175900,NEAR BAY
-121.79,39.48,39,1105,180,408,166,3.3929,82100,INLAND
-121.85,39.73,17,3425,827,2469,758,0.9393,88900,INLAND
-122.24,37.76,52,2567,436,1119,415,4.6094,229300,NEAR BAY
-120.58,38.77,21,1661,406,789,319,2.3583,108700,INLAND
-122.28,37.85,52,610,145,281,132,2.9018,119400,NEAR BAY
-121.86,39.76,19,7254,1785,4030,1667,2.0094,87300,INLAND
-122.32,37.95,35,1612,354,887,331,2.5769,146100,NEAR BAY
-122.22,37.78,44,1678,514,1700,495,2.0801,131900,NEAR BAY
-122.29,37.82,49,135,29,86,23,6.1183,75000,NEAR BAY
-120.08,36.79,38,1446,285,928,255,2.9808,89600,INLAND
-121.7,39.36,37,2330,495,1505,470,2.0474,56000,INLAND
-121.89,37.66,3,1565,464,769,461,2.1187,231300,INLAND
-120.98,38.67,13,3432,516,1286,470,5.584,186600,INLAND
-119.55,36.6,18,2379,448,1638,436,2.309,57100,INLAND
-122.14,38.01,50,1760,341,741,316,4.5,178300,NEAR BAY
-119.69,36.43,29,1799,356,1278,387,1.7813,57900,INLAND
-122.06,37.96,10,7136,1691,2959,1507,3.9816,182000,NEAR BAY
-122.16,37.79,22,12842,2048,4985,1967,5.9849,371000,NEAR BAY
-120.1,38.91,33,1561,282,30,11,1.875,500001,INLAND
-119.79,36.72,19,1719,391,1369,368,1.25,53000,INLAND
-121.98,37.82,18,9117,1248,3280,1167,8.003,351300,<1H OCEAN
-122.05,37.95,20,563,107,246,123,5.4482,190800,NEAR BAY
-119.5,36.62,34,1440,267,1018,265,2.2206,63400,INLAND
-119.77,36.76,43,1945,413,1492,422,1.5174,54600,INLAND
-119.71,36.79,34,1891,323,966,355,3.6681,82000,INLAND
-119.82,36.76,46,2194,563,924,542,1.4028,68500,INLAND
-121.98,37.8,16,2498,330,1027,343,8.155,343700,<1H OCEAN
-122.34,37.94,31,1611,455,786,411,1.681,145500,NEAR BAY
-121.86,37.66,22,3634,664,1699,640,4.1597,293200,INLAND
-119.76,36.83,17,3690,628,1888,601,4.0196,84200,INLAND
-122.16,37.72,38,1007,245,618,239,2.875,144800,NEAR BAY
-122.03,37.97,45,1613,338,865,336,3.25,151100,NEAR BAY
-119.83,36.77,32,2867,615,1705,570,2.4286,68100,INLAND
-119.69,36.82,15,3303,512,1687,505,4.81,93600,INLAND
-120.88,38.91,15,3876,778,1960,691,2.902,127300,INLAND
-122.29,37.89,52,979,175,374,153,5.1675,270600,NEAR BAY
-122.24,37.82,52,1509,225,674,244,4.9306,313400,NEAR BAY
-119.58,36.83,13,6135,863,2473,774,5.4895,156700,INLAND
-122.1,37.96,25,1374,206,569,235,6.3699,235500,NEAR BAY
-122.14,37.75,33,1334,200,579,202,6.8323,255900,NEAR BAY
-122.2,38.04,31,3029,500,1236,487,5.6022,197000,NEAR BAY
-122.18,37.77,27,909,236,396,157,2.0786,97500,NEAR BAY
-121.53,39.53,35,1806,293,683,295,4.5156,91200,INLAND
-120.81,38.67,14,8396,1578,3952,1474,3.0565,118800,INLAND
-121.79,37.67,26,2163,339,947,346,6.0797,211000,INLAND
-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800,NEAR BAY
-122.04,37.96,27,2587,729,1500,623,1.837,175000,NEAR BAY
-122.15,37.7,36,1468,252,733,229,3.4583,192600,NEAR BAY
-122.29,37.87,44,2539,755,1382,713,2.537,175000,NEAR BAY
-119.8,36.68,31,2214,432,1326,416,2.1691,66700,INLAND
-121.65,38.03,28,3144,694,1095,482,3.4402,192400,INLAND
-122.13,37.7,21,4124,1054,2162,998,2.6321,223100,NEAR BAY
-122.26,37.88,52,2363,604,1558,573,2.944,338900,NEAR BAY
-120.76,38.6,14,2925,625,1226,437,2.5865,133800,INLAND
-121.82,38.0,29,2070,452,985,420,2.8466,113400,INLAND
-119.81,36.8,38,2252,325,777,314,6.1575,160100,INLAND
-122.3,37.88,45,453,146,749,137,1.475,187500,NEAR BAY
-119.84,36.54,19,1310,241,702,217,2.4375,78200,INLAND
-121.97,37.53,26,2506,387,1273,406,5.4299,236400,<1H OCEAN
-120.0,38.93,17,8005,1382,999,383,3.9722,313400,INLAND
-122.22,37.81,52,1971,335,765,308,6.5217,273700,NEAR BAY
-122.17,37.74,47,463,134,327,137,2.15,97200,NEAR BAY
-122.06,37.68,30,5367,1207,2667,1047,3.1796,170300,NEAR BAY
-122.27,37.82,43,1007,312,558,253,1.7348,137500,NEAR BAY
-122.29,37.89,52,2269,380,1004,371,5.1696,261400,NEAR BAY
-119.97,38.93,24,856,185,388,108,3.1806,107200,INLAND
-119.45,36.6,36,2294,489,1430,454,1.8975,60900,INLAND
-119.83,36.73,21,1702,358,1347,316,2.4137,62100,INLAND
-122.03,37.87,21,3521,447,1396,467,8.2673,358700,NEAR BAY
-122.19,37.76,45,995,238,630,237,1.925,74100,NEAR BAY
-120.0,36.7,33,1902,370,1168,358,2.6852,70800,INLAND
-122.18,37.77,51,2107,471,1173,438,3.2552,120100,NEAR BAY
-119.8,36.73,45,925,231,797,228,1.7011,44800,INLAND
-120.67,38.19,17,2967,611,1387,564,2.0417,92600,INLAND
-120.69,36.84,18,902,195,771,174,2.2083,55000,INLAND
-122.22,37.78,50,1776,473,1807,440,1.7276,102300,NEAR BAY
-122.07,37.94,36,2639,488,1111,476,3.5057,205100,NEAR BAY
-121.53,39.49,19,1537,329,617,274,1.5313,50300,INLAND
-122.03,37.61,33,1518,302,831,268,5.097,188600,NEAR BAY
-122.33,37.91,36,1954,513,1437,440,1.125,93800,NEAR BAY
-122.13,37.75,36,768,93,229,93,5.3602,330000,NEAR BAY
-120.02,38.91,22,2138,493,829,330,2.2056,107200,INLAND
-122.22,37.78,44,2968,710,2269,610,2.3906,111700,NEAR BAY
-119.8,36.75,52,1788,449,1156,418,1.7298,58400,INLAND
-120.21,36.77,20,1745,348,1093,302,2.3194,90600,INLAND
-122.08,37.61,26,2261,443,1039,395,3.7931,203900,NEAR BAY
-119.79,36.75,33,3161,934,3530,846,1.123,46700,INLAND
-122.19,37.83,28,1326,184,463,190,8.2049,335200,NEAR BAY
-121.95,37.74,19,5721,837,2653,813,6.2631,266000,<1H OCEAN
-121.88,38.0,22,721,117,367,129,5.3098,151900,INLAND
-119.59,36.57,19,1733,303,911,281,3.5987,131700,INLAND
-122.31,37.91,43,2549,511,1060,528,3.6417,178400,NEAR BAY
-122.32,37.96,34,2070,357,784,294,4.0417,182800,NEAR BAY
-122.15,37.68,30,2261,443,929,383,4.2841,213400,NEAR BAY
-119.99,38.94,22,3119,640,786,351,3.0806,118500,INLAND
-122.07,37.71,36,2879,480,1235,455,4.9801,241500,NEAR BAY
-122.12,37.71,38,1164,284,632,289,3.0345,152100,NEAR BAY
-122.07,37.58,16,1606,240,1117,268,6.0661,247000,NEAR BAY
-122.21,37.79,45,2115,533,1530,474,2.4167,139400,NEAR BAY
-121.96,37.71,6,8072,1050,3386,1062,7.2494,336500,<1H OCEAN
-122.19,37.78,49,1183,205,496,209,5.2328,174200,NEAR BAY
-120.45,36.86,34,673,173,539,182,2.3523,66000,INLAND
-121.7,37.98,9,3079,519,1562,512,5.1041,172900,INLAND
-120.01,38.93,22,3080,610,1045,425,2.996,126100,INLAND
-122.08,37.88,24,2059,462,410,294,2.3971,99400,NEAR BAY
-122.32,37.94,38,2751,522,1390,489,3.7277,165100,NEAR BAY
-121.83,39.74,34,3263,604,1290,594,2.575,130300,INLAND
-119.85,36.74,35,1191,190,537,182,3.5375,96700,INLAND
